Date,TotalSales,Time,Year,Month,Hour,Day
1,0.0,01-10-2014 00:0001-10-2014 01:0001-10-2014 02:0001-10-2014 03:0001-10-2014 04:0001-10-2014 05:0001-10-2014 06:0001-10-2014 07:0001-10-2014 16:0001-10-2014 21:0001-10-2014 22:0001-10-2014 23:0001-10-2015 00:0001-10-2015 01:0001-10-2015 02:0001-10-2015 03:0001-10-2015 04:0001-10-2015 05:0001-10-2015 06:0001-10-2015 07:0001-10-2015 21:0001-10-2015 22:0001-10-2015 23:0001-10-2016 00:0001-10-2016 01:0001-10-2016 02:0001-10-2016 03:0001-10-2016 04:0001-10-2016 05:0001-10-2016 06:0001-10-2016 07:0001-10-2016 21:0001-10-2016 22:0001-10-2016 23:0001-10-2017 00:0001-10-2017 01:0001-10-2017 02:0001-10-2017 03:0001-10-2017 04:0001-10-2017 05:0001-10-2017 06:0001-10-2017 07:0001-10-2017 08:0001-10-2017 23:0001-10-2018 00:0001-10-2018 01:0001-10-2018 02:0001-10-2018 03:0001-10-2018 04:0001-10-2018 05:0001-10-2018 06:0001-10-2018 07:0001-10-2018 22:0001-10-2018 23:0001-10-2019 00:0001-10-2019 01:0001-10-2019 02:0001-10-2019 03:0001-10-2019 04:0001-10-2019 05:0001-10-2019 06:0001-10-2019 07:0001-10-2019 22:0001-10-2019 23:00,2014201420142014201420142014201420142014201420142015201520152015201520152015201520152015201520162016201620162016201620162016201620162016201720172017201720172017201720172017201720182018201820182018201820182018201820182019201920192019201920192019201920192019,10101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010,503,FridayFridayFridayFridayFridayFridayFridayFridayFridayFridayFridayFridaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySundaySundaySundaySundaySundaySundaySundaySundaySundaySundaySundayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesdayThursdayThursdayThursdayThursdayThursdayThursdayThursdayThursdayThursdayThursday
1,0.33,01-10-2019 16:00,2019,10,16,Thursday
1,1.0,01-10-2016 08:0001-10-2016 20:0001-10-2018 18:00,201620162018,101010,46,SundaySundayWednesday
1,1.09,01-10-2015 18:00,2015,10,18,Saturday
1,2.0,01-10-2014 19:0001-10-2015 08:0001-10-2018 10:0001-10-2018 13:0001-10-2018 20:00,20142015201820182018,1010101010,70,FridaySaturdayWednesdayWednesdayWednesday
1,2.34,01-10-2016 19:00,2016,10,19,Sunday
1,2.5,01-10-2017 21:00,2017,10,21,Tuesday
1,3.0,01-10-2014 10:0001-10-2014 11:0001-10-2014 15:0001-10-2014 18:0001-10-2016 09:0001-10-2018 08:0001-10-2018 16:0001-10-2018 21:00,20142014201420142016201820182018,1010101010101010,108,FridayFridayFridayFridaySundayWednesdayWednesdayWednesday
1,3.2,01-10-2015 17:00,2015,10,17,Saturday
1,4.0,01-10-2014 08:0001-10-2015 12:0001-10-2015 14:0001-10-2016 14:0001-10-2016 17:0001-10-2019 08:0001-10-2019 11:0001-10-2019 13:00,20142015201520162016201920192019,1010101010101010,97,FridaySaturdaySaturdaySundaySundayThursdayThursdayThursday
